"","AAPL","TSLA","SPY"
"2023-08-10",176.436828613281,245.339996337891,436.943572998047
"2023-08-11",176.49641418457,242.649993896484,436.688812255859
"2023-08-14",178.154281616211,239.759994506836,439.099334716797
"2023-08-15",176.15885925293,232.960006713867,433.984283447266
"2023-08-16",175.285293579102,225.600006103516,430.799621582031
"2023-08-17",172.734008789062,219.220001220703,427.517059326172
"2023-08-18",173.220443725586,215.490005493164,427.722808837891
"2023-08-21",174.560607910156,231.279998779297,430.505706787109
"2023-08-22",175.940475463867,233.190002441406,429.339599609375
"2023-08-23",179.802185058594,236.860000610352,434.121490478516
"2023-08-24",175.0966796875,230.039993286133,428.104949951172
"2023-08-25",177.310455322266,238.589996337891,431.123016357422
"2023-08-28",178.878967285156,238.820007324219,433.85693359375
"2023-08-29",182.780364990234,257.179992675781,440.128204345703
"2023-08-30",186.28466796875,256.899993896484,441.941040039062
"2023-08-31",186.503067016602,258.079986572266,441.294281005859
"2023-09-01",188.081497192383,245.009994506836,442.117401123047
"2023-09-05",188.319747924805,256.489990234375,440.206604003906
"2023-09-06",181.579162597656,251.919998168945,437.247344970703
"2023-09-07",176.26806640625,251.490005493164,435.904876708984
"2023-09-08",176.883560180664,248.5,436.561401367188
"2023-09-11",178.054992675781,273.579986572266,439.432556152344
"2023-09-12",175.017272949219,267.480010986328,437.02197265625
"2023-09-13",172.942474365234,271.299987792969,437.531524658203
"2023-09-14",174.461334228516,276.040008544922,441.304046630859
"2023-09-15",173.736618041992,274.390014648438,435.987121582031
"2023-09-18",176.675109863281,265.279998779297,436.242767333984
"2023-09-19",177.767105102539,266.5,435.338073730469
"2023-09-20",174.213150024414,262.589996337891,431.3359375
"2023-09-21",172.664489746094,255.699996948242,424.206634521484
"2023-09-22",173.51823425293,244.880004882812,423.252777099609
"2023-09-25",174.798858642578,246.990005493164,425.032623291016
"2023-09-26",170.708831787109,244.119995117188,418.788421630859
"2023-09-27",169.189956665039,240.5,418.955535888672
"2023-09-28",169.44807434082,246.380004882812,421.384368896484
"2023-09-29",169.964294433594,250.220001220703,420.361724853516
"2023-10-02",172.485809326172,251.600006103516,420.194549560547
"2023-10-03",171.145614624023,246.529998779297,414.569793701172
"2023-10-04",172.396453857422,261.160003662109,417.588684082031
"2023-10-05",173.637359619141,260.049987792969,417.431335449219
"2023-10-06",176.198577880859,260.529998779297,422.387420654297
"2023-10-09",177.68766784668,259.670013427734,425.091613769531
"2023-10-10",177.092056274414,263.619995117188,427.304138183594
"2023-10-11",178.491790771484,262.989990234375,429.054534912109
"2023-10-12",179.39518737793,258.869995117188,426.438781738281
"2023-10-13",177.548706054688,251.119995117188,424.314758300781
"2023-10-16",177.419647216797,253.919998168945,428.779205322266
"2023-10-17",175.861083984375,254.850006103516,428.759521484375
"2023-10-18",174.560607910156,242.679992675781,423.046234130859
"2023-10-19",174.183380126953,220.110000610352,419.329193115234
"2023-10-20",171.622131347656,211.990005493164,414.176452636719
"2023-10-23",171.741256713867,212.080001831055,413.458587646484
"2023-10-24",172.17805480957,216.520004272461,416.575805664062
"2023-10-25",169.855102539062,212.419998168945,410.597045898438
"2023-10-26",165.675735473633,205.759994506836,405.680328369141
"2023-10-27",166.996032714844,207.300003051758,403.841461181641
"2023-10-30",169.050964355469,197.360000610352,408.669677734375
"2023-10-31",169.527481079102,200.839996337891,411.236267089844
"2023-11-01",172.704208374023,205.660003662109,415.621978759766
"2023-11-02",176.27799987793,218.509994506836,423.587127685547
"2023-11-03",175.364700317383,219.960006713867,427.45166015625
"2023-11-06",177.925933837891,219.270004272461,428.435028076172
"2023-11-07",180.497085571289,222.179992675781,429.654327392578
"2023-11-08",181.559295654297,222.110000610352,429.969024658203
"2023-11-09",181.082794189453,209.979995727539,426.615783691406
"2023-11-10",185.287551879883,214.649993896484,433.273071289062
"2023-11-13",183.69709777832,223.710006713867,432.860076904297
"2023-11-14",186.321334838867,237.410003662109,441.257873535156
"2023-11-15",186.887924194336,242.839996337891,442.192016601562
"2023-11-16",188.57780456543,233.589996337891,442.732879638672
"2023-11-17",188.55793762207,234.300003051758,443.283569335938
"2023-11-20",190.307403564453,235.600006103516,446.69580078125
"2023-11-21",189.502258300781,241.199996948242,445.722259521484
"2023-11-22",190.168228149414,234.210006713867,447.443115234375
"2023-11-24",188.83625793457,235.449996948242,447.718475341797
"2023-11-27",188.657318115234,236.080001831055,446.912170410156
"2023-11-28",189.263687133789,246.720001220703,447.354614257812
"2023-11-29",188.239837646484,244.139999389648,447.039947509766
"2023-11-30",188.816360473633,240.080001831055,448.800140380859
"2023-12-01",190.098663330078,238.830001831055,451.455200195312
"2023-12-04",188.299453735352,235.580001831055,449.085327148438
"2023-12-05",192.265655517578,238.720001220703,448.996826171875
"2023-12-06",191.172241210938,239.369995117188,447.1875
"2023-12-07",193.110595703125,242.639999389648,450.599639892578
"2023-12-08",194.5419921875,243.839996337891,452.536865234375
"2023-12-11",192.027069091797,239.740005493164,454.297027587891
"2023-12-12",193.547973632812,237.009994506836,456.371948242188
"2023-12-13",196.778579711914,239.289993286133,462.665374755859
"2023-12-14",196.927673339844,251.050003051758,464.150238037109
"2023-12-15",196.390899658203,253.5,463.385986328125
"2023-12-18",194.720901489258,252.080001831055,465.992614746094
"2023-12-19",195.764663696289,257.220001220703,468.826232910156
"2023-12-20",193.667251586914,247.139999389648,462.329559326172
"2023-12-21",193.518112182617,254.5,466.713348388672
"2023-12-22",192.444595336914,252.539993286133,467.651306152344
"2023-12-26",191.897872924805,256.609985351562,469.625946044922
"2023-12-27",191.997253417969,261.440002441406,470.475067138672
"2023-12-28",192.424697875977,253.179992675781,470.652801513672
"2023-12-29",191.380966186523,248.479995727539,469.290283203125
"2024-01-02",184.532089233398,248.419998168945,466.664001464844
"2024-01-03",183.150405883789,238.449996948242,462.852874755859
"2024-01-04",180.824356079102,237.929992675781,461.361968994141
"2024-01-05",180.098693847656,237.490005493164,461.993896484375
"2024-01-08",184.452560424805,240.449996948242,468.589263916016
"2024-01-09",184.035079956055,234.960006713867,467.87841796875
"2024-01-10",185.078796386719,233.940002441406,470.524444580078
"2024-01-11",184.482391357422,227.220001220703,470.317108154297
"2024-01-12",184.810424804688,218.889999389648,470.642913818359
"2024-01-16",182.534072875977,219.910003662109,468.915069580078
"2024-01-17",181.589736938477,215.550003051758,466.308532714844
"2024-01-18",187.504257202148,211.880004882812,470.455291748047
"2024-01-19",190.416763305664,212.190002441406,476.320098876953
"2024-01-22",192.732833862305,208.800003051758,477.327209472656
"2024-01-23",194.015151977539,209.139999389648,478.719329833984
"2024-01-24",193.339202880859,207.830001831055,479.242614746094
"2024-01-25",193.011184692383,182.630004882812,481.849182128906
"2024-01-26",191.271636962891,183.25,481.237030029297
"2024-01-29",190.585739135742,190.929992675781,485.048156738281
"2024-01-30",186.917755126953,191.589996337891,484.672973632812
"2024-01-31",183.29948425293,187.289993286133,476.764434814453
"2024-02-01",185.744827270508,188.860000610352,483.004333496094
"2024-02-02",184.740844726562,187.910003662109,488.089141845703
"2024-02-05",186.559906005859,181.059997558594,486.311920166016
"2024-02-06",188.170257568359,185.100006103516,487.723846435547
"2024-02-07",188.27961730957,187.580001831055,491.791625976562
"2024-02-08",187.196105957031,189.559997558594,492.008819580078
"2024-02-09",187.962493896484,193.570007324219,494.852416992188
"2024-02-12",186.270462036133,188.130004882812,494.635192871094
"2024-02-13",184.170364379883,184.020004272461,487.822540283203
"2024-02-14",183.284561157227,188.710006713867,492.255676269531
"2024-02-15",182.99592590332,200.449996948242,495.652160644531
"2024-02-16",181.453186035156,199.949996948242,493.183837890625
"2024-02-20",180.706726074219,193.759994506836,490.468627929688
"2024-02-21",181.463165283203,194.770004272461,490.912872314453
"2024-02-22",183.503524780273,197.410003662109,501.072601318359
"2024-02-23",181.662231445312,191.970001220703,501.418151855469
"2024-02-26",180.308624267578,199.399993896484,499.581695556641
"2024-02-27",181.771697998047,199.729995727539,500.509826660156
"2024-02-28",180.5673828125,202.039993286133,499.848327636719
"2024-02-29",179.900527954102,201.880004882812,501.645233154297
"2024-03-01",178.815673828125,202.639999389648,506.354827880859
"2024-03-04",174.277099609375,188.139999389648,505.811798095703
"2024-03-05",169.320495605469,180.740005493164,500.756622314453
"2024-03-06",168.325180053711,176.539993286133,503.294097900391
"2024-03-07",168.205764770508,178.649993896484,508.289978027344
"2024-03-08",169.927627563477,175.339996337891,505.239135742188
"2024-03-11",171.938140869141,177.770004272461,504.804718017578
"2024-03-12",172.415863037109,177.539993286133,510.235046386719
"2024-03-13",170.325759887695,169.479995727539,509.435333251953
"2024-03-14",172.186965942383,162.5,508.428253173828
"2024-03-15",171.808746337891,163.570007324219,504.937072753906
"2024-03-18",172.903579711914,173.800003051758,507.938018798828
"2024-03-19",175.252471923828,171.320007324219,510.760681152344
"2024-03-20",177.830307006836,175.660003662109,515.484924316406
"2024-03-21",170.56462097168,172.820007324219,517.188354492188
"2024-03-22",171.470352172852,170.830001831055,516.207885742188
"2024-03-25",170.047073364258,172.630004882812,514.781677246094
"2024-03-26",168.91242980957,177.669998168945,513.830871582031
"2024-03-27",172.495498657227,179.830001831055,518.149047851562
"2024-03-28",170.674102783203,175.789993286133,518.050048828125
"2024-04-01",169.230926513672,175.220001220703,517.148681640625
"2024-04-02",168.046493530273,166.630004882812,513.860656738281
"2024-04-03",168.852691650391,168.380004882812,514.425109863281
"2024-04-04",168.026611328125,171.110000610352,508.146026611328
"2024-04-05",168.78303527832,164.899993896484,513.454528808594
"2024-04-08",167.658340454102,172.979995727539,513.741760253906
"2024-04-09",168.872604370117,176.880004882812,514.336059570312
"2024-04-10",166.991470336914,171.759994506836,509.185882568359
"2024-04-11",174.217361450195,174.600006103516,513.028686523438
"2024-04-12",175.720275878906,171.050003051758,505.947296142578
"2024-04-15",171.87841796875,161.479995727539,499.608734130859
"2024-04-16",168.583984375,157.110000610352,498.697570800781
"2024-04-17",167.210464477539,155.449996948242,495.746124267578
"2024-04-18",166.254974365234,149.929992675781,494.726043701172
"2024-04-19",164.224548339844,147.050003051758,490.407867431641
"2024-04-22",165.060607910156,142.050003051758,494.924102783203
"2024-04-23",166.115631103516,144.679992675781,500.797180175781
"2024-04-24",168.225662231445,162.130004882812,500.559478759766
"2024-04-25",169.091583251953,170.179992675781,498.657928466797
"2024-04-26",168.504348754883,168.289993286133,503.382171630859
"2024-04-29",172.684616088867,194.050003051758,505.164855957031
"2024-04-30",169.529510498047,183.279998779297,497.162445068359
"2024-05-01",168.504348754883,179.990005493164,495.548065185547
"2024-05-02",172.216812133789,180.009994506836,500.183135986328
"2024-05-03",182.518173217773,181.190002441406,506.383087158203
"2024-05-06",180.856033325195,184.759994506836,511.612426757812
"2024-05-07",181.542785644531,177.809997558594,512.176940917969
"2024-05-08",181.88117980957,174.720001220703,512.226379394531
"2024-05-09",183.702606201172,171.970001220703,515.177856445312
"2024-05-10",182.43684387207,168.470001220703,515.841491699219
"2024-05-13",185.656021118164,171.889999389648,515.910705566406
"2024-05-14",186.802169799805,177.550003051758,518.277770996094
"2024-05-15",189.084518432617,173.990005493164,524.695678710938
"2024-05-16",189.2041015625,174.839996337891,523.616027832031
"2024-05-17",189.233993530273,177.460006713867,524.368774414062
"2024-05-20",190.400085449219,174.949996948242,524.972900390625
"2024-05-21",191.705703735352,186.600006103516,526.260437011719
"2024-05-22",190.260543823242,180.110000610352,524.7451171875
"2024-05-23",186.254013061523,173.740005493164,520.912292480469
"2024-05-24",189.343627929688,179.240005493164,524.35888671875
"2024-05-28",189.353591918945,176.75,524.725341796875
"2024-05-29",189.652587890625,176.190002441406,521.050903320312
"2024-05-30",190.64924621582,178.789993286133,517.594421386719
"2024-05-31",191.606018066406,178.080001831055,522.308715820312
"2024-06-03",193.380065917969,176.289993286133,522.734619140625
"2024-06-04",193.699005126953,174.770004272461,523.318969726562
"2024-06-05",195.213897705078,175,529.538696289062
"2024-06-06",193.828552246094,177.940002441406,529.528747558594
"2024-06-07",196.23046875,177.479995727539,528.885070800781
"2024-06-10",192.473114013672,173.789993286133,530.519165039062
"2024-06-11",206.456100463867,170.660003662109,531.796752929688
"2024-06-12",212.356292724609,177.289993286133,536.164489746094
"2024-06-13",213.522384643555,182.470001220703,537.244079589844
"2024-06-14",211.778244018555,178.009994506836,537.570861816406
"2024-06-17",215.944229125977,187.440002441406,541.849365234375
